Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Epping,13 Orlit Ct,4.0,h,545000.0,PI,Barry,27/05/2017,19.6,3076,4.0,2.0,2.0,635.0,157.0,1985.0,Whittlesea City Council,-37.64051,145.05743,Northern Metropolitan,10926
Delahey,11 Barley Ct,4.0,h,505000.0,S,YPA,22/07/2017,18.0,3037,4.0,2.0,2.0,344.0,105.9,1995.0,Brimbank City Council,-37.719,144.76699,Western Metropolitan,2898
Doveton,5 Crimson Dr,3.0,h,500000.0,S,Hall,15/07/2017,28.8,3177,3.0,1.0,3.0,621.0,,1955.0,Casey City Council,-37.98537,145.23505,South-Eastern Metropolitan,3533
Reservoir,153 Boldrewood Pde,4.0,h,725000.0,S,Ray,14/10/2017,12.0,3073,3.0,2.0,2.0,289.0,120.0,2014.0,Darebin City Council,-37.71222,145.02252,Northern Metropolitan,21650
Fitzroy North,171 Scotchmer St,4.0,h,1870000.0,S,Jellis,26/08/2017,3.6,3068,4.0,3.0,1.0,248.0,173.0,1890.0,Moreland City Council,-37.7833,144.98521000000002,Northern Metropolitan,6244
Bentleigh East,1/62 Tudor St,3.0,h,810000.0,PI,Buxton,20/05/2017,13.9,3165,3.0,1.0,1.0,294.0,105.0,1950.0,Glen Eira City Council,-37.919000000000004,145.0803,Southern Metropolitan,10969
Moonee Ponds,2 Montague St,4.0,h,1400000.0,VB,Nelson,9/12/2017,6.2,3039,4.0,2.0,1.0,602.0,156.0,1940.0,Moonee Valley City Council,-37.75956,144.92994,Western Metropolitan,6232
Prahran,6 Aberdeen Rd,3.0,h,1390000.0,S,Marshall,19/08/2017,4.6,3181,3.0,2.0,1.0,125.0,0.0,2002.0,Stonnington City Council,-37.85257,145.00296,Southern Metropolitan,7717
Bundoora,19 Silverash Dr,2.0,t,438000.0,S,Ray,7/10/2017,12.1,3083,2.0,2.0,2.0,105.0,95.0,2010.0,Banyule City Council,-37.678000000000004,145.05693,Northern Metropolitan,10175
Maribyrnong,26 Riverbank Dr,4.0,h,1190000.0,VB,Nelson,14/10/2017,4.3,3032,4.0,2.0,2.0,476.0,212.0,2001.0,Maribyrnong City Council,-37.76485,144.88545,Western Metropolitan,4918
Bentleigh East,1 Vine Ct,5.0,h,1669000.0,S,Jellis,3/3/2018,13.8,3165,5.0,3.0,2.0,400.0,260.0,2013.0,Glen Eira City Council,-37.91653,145.05705,Southern Metropolitan,10969
Coburg,1/38 Victoria St,2.0,h,500000.0,S,Nelson,28/08/2016,7.8,3058,2.0,1.0,1.0,113.0,70.0,1970.0,Darebin City Council,-37.7424,144.961,Northern Metropolitan,11204
Kew,31 Miller Gr,3.0,h,2310000.0,S,Walsh,10/12/2016,5.6,3101,3.0,1.0,2.0,782.0,175.0,1920.0,Boroondara City Council,-37.8107,145.0219,Southern Metropolitan,10331
Hughesdale,40 Canterbury St,5.0,h,1475000.0,S,Woodards,8/7/2017,12.3,3166,5.0,2.0,3.0,548.0,157.0,1920.0,Monash City Council,-37.90403,145.08118000000002,Southern Metropolitan,3145
South Morang,2 Bethany Ct,3.0,h,611000.0,S,Millership,28/10/2017,20.5,3752,3.0,1.0,2.0,551.0,125.0,1987.0,Whittlesea City Council,-37.64776,145.09292,Northern Metropolitan,7969
South Yarra,24B Argo St,2.0,h,1350000.0,S,hockingstuart,28/10/2017,2.7,3141,2.0,1.0,2.0,127.0,128.0,2000.0,Melbourne City Council,-37.84406,144.98686,Southern Metropolitan,14887
Frankston South,6 Jinchilla Av,3.0,h,723500.0,S,Barry,14/10/2017,38.0,3199,3.0,2.0,2.0,,169.0,1980.0,Frankston City Council,-38.18415,145.13938000000002,South-Eastern Metropolitan,7566
Bentleigh East,2/5 Connie St,3.0,u,870000.0,S,Woodards,24/09/2016,13.9,3165,3.0,2.0,2.0,365.0,150.0,2011.0,Glen Eira City Council,-37.9225,145.0754,Southern Metropolitan,10969
Northcote,29 Traill St,5.0,h,1700000.0,S,Nelson,27/06/2016,5.5,3070,5.0,3.0,1.0,450.0,265.0,1930.0,Darebin City Council,-37.7701,144.9886,Northern Metropolitan,11364
Balwyn North,108 Bulleen Rd,5.0,h,1750000.0,VB,Jellis,7/11/2016,9.2,3104,5.0,3.0,2.0,705.0,365.0,2013.0,Boroondara City Council,-37.7851,145.0775,Southern Metropolitan,7809
Brighton,3/1 Thomson St,4.0,h,2000000.0,VB,Kay,13/05/2017,11.2,3186,4.0,2.0,2.0,286.0,283.0,1999.0,Bayside City Council,-37.8981,145.0,Southern Metropolitan,10579
Essendon North,1/48 Keilor Rd,2.0,u,340000.0,SP,Nelson,18/06/2016,9.4,3041,2.0,1.0,1.0,0.0,65.0,1960.0,Moonee Valley City Council,-37.7433,144.9074,Western Metropolitan,1308
Prahran,76/108 Greville St,3.0,u,685000.0,PI,hockingstuart,4/6/2016,4.5,3181,2.0,2.0,1.0,0.0,92.0,1996.0,Stonnington City Council,-37.8496,144.9905,Southern Metropolitan,7717
Flemington,21 Wisewould St,2.0,h,855000.0,SP,Nelson,10/12/2016,4.4,3031,2.0,1.0,0.0,225.0,85.0,1930.0,Melbourne City Council,-37.7849,144.9197,Northern Metropolitan,3593
Kensington,13 Youlden St,3.0,h,870000.0,S,Greg,8/10/2016,4.2,3031,3.0,1.0,1.0,211.0,95.0,1992.0,Melbourne City Council,-37.7891,144.92600000000002,Northern Metropolitan,5263
Craigieburn,15 Eastgate Rd,4.0,h,515000.0,S,HAR,9/12/2017,20.6,3064,4.0,1.0,1.0,738.0,129.0,1980.0,Hume City Council,-37.60603,144.941,Northern Metropolitan,15510
Malvern,14 Woodmason St,3.0,h,1437000.0,S,hockingstuart,16/04/2016,7.4,3144,2.0,1.0,1.0,313.0,132.0,1910.0,Stonnington City Council,-37.8511,145.0317,Southern Metropolitan,4675
Bentleigh,81 Fromer St,4.0,h,1430000.0,S,hockingstuart,22/08/2016,13.0,3204,4.0,2.0,2.0,611.0,168.0,1970.0,Glen Eira City Council,-37.9289,145.0481,Southern Metropolitan,6795
Kew,4/35 Studley Park Rd,2.0,u,580000.0,PI,Nelson,13/08/2016,5.6,3101,2.0,1.0,1.0,0.0,90.0,1970.0,Boroondara City Council,-37.8071,145.0243,Southern Metropolitan,10331
Kew East,32 Hartwood St,4.0,h,,SP,Marshall,17/02/2018,7.3,3102,4.0,2.0,2.0,836.0,247.0,1928.0,Boroondara City Council,-37.79511,145.05422,Southern Metropolitan,2671
Brunswick,1/19 Manallack St,4.0,h,1210000.0,SP,Woodards,8/4/2017,5.2,3056,4.0,2.0,1.0,373.0,200.0,2009.0,Moreland City Council,-37.7733,144.9599,Northern Metropolitan,11918
Melton West,42 Sovereign Bvd,4.0,h,630000.0,S,hockingstuart,14/10/2017,31.7,3337,4.0,2.0,2.0,888.0,210.0,2007.0,Melton City Council,-37.672340000000005,144.54543,Northern Victoria,6065
Sunbury,11 Bannermann St,4.0,h,580000.0,S,Raine,1/7/2017,31.7,3429,4.0,2.0,2.0,613.0,221.0,2011.0,Hume City Council,-37.595009999999995,144.70068999999998,Western Metropolitan,14092
Glen Iris,43 Albion Rd,4.0,h,1997500.0,S,Marshall,17/02/2018,7.3,3146,4.0,2.0,2.0,621.0,,1945.0,Boroondara City Council,-37.86544,145.06739,Southern Metropolitan,10412
Caulfield North,6/374 Dandenong Rd,2.0,u,610000.0,PI,Greg,22/07/2017,7.8,3161,2.0,1.0,1.0,816.0,88.0,2007.0,Glen Eira City Council,-37.86068,145.01121,Southern Metropolitan,6923
Malvern,41 Horace St,4.0,h,3800000.0,S,Kay,13/08/2016,7.4,3144,4.0,3.0,2.0,587.0,392.0,2016.0,Stonnington City Council,-37.8613,145.0393,Southern Metropolitan,4675
Deer Park,36 Jonah Pde,4.0,h,545000.0,S,Stockdale,3/3/2018,14.8,3023,4.0,2.0,2.0,401.0,126.0,2009.0,Brimbank City Council,-37.77475,144.75653,Western Metropolitan,6388
Werribee,57 Market Rd,3.0,h,545000.0,SP,YPA,11/11/2017,14.7,3030,3.0,1.0,2.0,768.0,132.0,1975.0,Wyndham City Council,-37.8956,144.6588,Western Metropolitan,16166
Heidelberg,29 Martin St,3.0,h,1271000.0,S,Fletchers,22/04/2017,10.6,3084,3.0,2.0,2.0,330.0,171.0,2008.0,Banyule City Council,-37.7524,145.06,Eastern Metropolitan,2890
Moonee Ponds,86 Waverley St,3.0,h,1210000.0,PI,Sweeney,3/9/2017,6.2,3039,3.0,2.0,0.0,411.0,114.0,1915.0,Moonee Valley City Council,-37.76285,144.90575,Western Metropolitan,6232
Epping,13 Manley St,3.0,h,500000.0,S,Darren,29/07/2017,19.6,3076,3.0,2.0,2.0,321.0,130.0,2011.0,Whittlesea City Council,-37.63169,145.03135,Northern Metropolitan,10926
Keilor East,86 Prospect Dr,3.0,h,690000.0,S,Harcourts,8/10/2016,12.8,3033,3.0,2.0,2.0,568.0,148.0,1970.0,Brimbank City Council,-37.7469,144.8526,Western Metropolitan,5629
Elsternwick,44 Hartington St,4.0,h,1400000.0,SP,Biggin,7/5/2016,8.5,3185,4.0,1.0,1.0,489.0,150.0,1910.0,Glen Eira City Council,-37.8916,145.0123,Southern Metropolitan,4898
Bentleigh,5 Luckins Rd,3.0,h,1165000.0,PI,Buxton,18/06/2016,13.0,3204,3.0,1.0,2.0,694.0,125.0,1950.0,Glen Eira City Council,-37.9315,145.0445,Southern Metropolitan,6795
Ashburton,3 Dunlop St,3.0,h,1555000.0,S,Jellis,4/6/2016,11.0,3147,3.0,2.0,2.0,731.0,149.0,1935.0,Boroondara City Council,-37.8666,145.0676,Southern Metropolitan,3052
Bundoora,49 Nickson St,4.0,h,770000.0,S,Barry,7/10/2017,12.1,3083,4.0,2.0,1.0,537.0,142.0,1980.0,Banyule City Council,-37.696670000000005,145.05403,Northern Metropolitan,10175
Coburg,69 Victoria St,3.0,t,720000.0,PI,Century,29/04/2017,7.8,3058,3.0,2.0,2.0,531.0,112.0,2016.0,Darebin City Council,-37.7424,144.9571,Northern Metropolitan,11204
Glen Waverley,14 Campbell St,5.0,h,2670000.0,S,Ray,14/10/2017,16.7,3150,5.0,4.0,2.0,788.0,418.0,2015.0,Monash City Council,-37.8693,145.17012,Eastern Metropolitan,15321
Mill Park,1 Buckmaster Dr,5.0,h,650000.0,VB,The,28/10/2017,17.9,3082,5.0,2.0,2.0,,216.0,1990.0,Whittlesea City Council,-37.66768,145.06455,Northern Metropolitan,10529
Albion,5 Norwood St,3.0,h,715000.0,S,Sweeney,21/10/2017,10.5,3020,3.0,1.0,2.0,638.0,97.0,1960.0,Brimbank City Council,-37.78089,144.81141000000002,Western Metropolitan,2185
Templestowe Lower,271 High St,4.0,h,1500000.0,SP,Jellis,7/5/2016,13.8,3107,4.0,2.0,2.0,420.0,255.0,2013.0,Manningham City Council,-37.766999999999996,145.119,Eastern Metropolitan,5420
South Yarra,7/85 Caroline St,1.0,u,420000.0,S,hockingstuart,22/07/2017,2.7,3141,1.0,1.0,1.0,0.0,43.0,1960.0,Melbourne City Council,-37.83547,144.98844,Southern Metropolitan,14887
South Yarra,308/800 Chapel St,2.0,u,762500.0,S,hockingstuart,8/7/2017,2.7,3141,2.0,1.0,1.0,17200.0,79.0,2003.0,Melbourne City Council,-37.83613,144.99661,Southern Metropolitan,14887
Bentleigh East,39 Shrewsbury St,4.0,h,1365000.0,PI,Marshall,22/05/2016,13.9,3165,4.0,1.0,1.0,582.0,151.0,1960.0,Glen Eira City Council,-37.9129,145.0598,Southern Metropolitan,10969
Malvern,8/6 Irving St,2.0,u,740000.0,S,Marshall,25/02/2017,7.4,3144,2.0,1.0,1.0,0.0,91.0,1967.0,Stonnington City Council,-37.8597,145.0322,Southern Metropolitan,4675
Sunshine,1/10 Norma St,2.0,u,425500.0,SP,Barry,15/10/2016,12.6,3020,2.0,1.0,0.0,153.0,72.0,1970.0,Brimbank City Council,-37.7912,144.8439,Western Metropolitan,3755
Footscray,51 Lynch St,2.0,h,858000.0,SP,Jas,22/05/2016,6.4,3011,2.0,1.0,1.0,313.0,93.0,1915.0,Maribyrnong City Council,-37.7966,144.9016,Western Metropolitan,7570
Wantirna South,12 Bent Ct,3.0,h,1261000.0,S,LLC,25/11/2017,14.7,3152,3.0,1.0,4.0,1093.0,115.0,1960.0,Knox City Council,-37.861,145.2507,Eastern Metropolitan,7082
Glenroy,24 Sadie St,3.0,h,793000.0,S,Eview,12/11/2016,13.0,3046,3.0,1.0,2.0,780.0,120.0,1960.0,Moreland City Council,-37.7,144.9427,Northern Metropolitan,8870
Balwyn North,35 Sylvander St,4.0,h,1890000.0,S,Jellis,13/05/2017,9.2,3104,4.0,3.0,2.0,636.0,227.0,1960.0,Boroondara City Council,-37.789,145.0938,Southern Metropolitan,7809
Glen Waverley,10/18 Tulloch Gr,3.0,t,655000.0,S,Harcourts,17/06/2017,16.7,3150,3.0,2.0,2.0,0.0,133.0,2002.0,Monash City Council,-37.89873,145.15072,Eastern Metropolitan,15321
Brighton East,43 Regent St,4.0,h,2070000.0,PI,Marshall,3/3/2018,10.3,3187,4.0,2.0,2.0,602.0,235.0,1950.0,Bayside City Council,-37.92367,145.00993,Southern Metropolitan,6938
Strathmore,56 Hillsyde Pde,3.0,h,1025000.0,S,Considine,7/5/2016,9.7,3041,3.0,2.0,1.0,654.0,180.0,1950.0,Moonee Valley City Council,-37.7369,144.9251,Western Metropolitan,3284
Oakleigh,13 Hilbert Ct,3.0,h,1033000.0,S,Buxton,18/03/2017,14.0,3166,3.0,1.0,2.0,548.0,115.0,1975.0,Monash City Council,-37.8951,145.101,Southern Metropolitan,3224
Brunswick,2 Sheffield St,4.0,h,1661000.0,S,Nelson,3/3/2018,5.2,3056,4.0,2.0,1.0,412.0,156.0,1920.0,Moreland City Council,-37.76043,144.95136000000002,Northern Metropolitan,11918
Reservoir,4/60 Henty St,2.0,u,380000.0,S,Nelson,8/10/2016,11.2,3073,2.0,1.0,1.0,149.0,70.0,1980.0,Darebin City Council,-37.7177,144.9917,Northern Metropolitan,21650
Lalor,1 Howell St,3.0,h,560000.0,S,Harcourts,24/06/2017,16.3,3075,3.0,1.0,1.0,364.0,165.0,1985.0,Whittlesea City Council,-37.67122,145.01487,Northern Metropolitan,8279
Kew,4 Franks Gr,4.0,h,2550000.0,S,Jellis,10/9/2016,5.6,3101,4.0,2.0,2.0,603.0,220.0,1930.0,Boroondara City Council,-37.8095,145.0391,Southern Metropolitan,10331
Balwyn North,11 Highview Rd,4.0,h,,S,Fletchers,6/1/2018,9.7,3104,4.0,3.0,2.0,621.0,181.0,1960.0,Boroondara City Council,-37.78322,145.07958,Southern Metropolitan,7809
Coburg,26 McKay St,2.0,h,857000.0,S,Barry,3/3/2018,6.7,3058,2.0,1.0,1.0,236.0,97.0,1900.0,Darebin City Council,-37.73936,144.96454,Northern Metropolitan,11204
Craigieburn,9 Gerald St,3.0,h,434000.0,S,Jason,7/10/2017,20.6,3064,3.0,2.0,1.0,,116.0,2011.0,Hume City Council,-37.57228,144.91057,Northern Metropolitan,15510
Clifton Hill,11 Page St,3.0,h,1370000.0,S,Collins,13/08/2016,3.4,3068,3.0,2.0,1.0,176.0,135.0,1890.0,Yarra City Council,-37.7921,144.9898,Northern Metropolitan,2954
West Footscray,54 Wellington St,3.0,h,857500.0,S,Sweeney,9/12/2017,6.4,3012,3.0,1.0,3.0,417.0,115.0,1950.0,Maribyrnong City Council,-37.79139,144.86596,Western Metropolitan,5058
Kingsville,52a Williamstown Rd,2.0,h,730000.0,S,Village,12/11/2016,7.8,3012,2.0,2.0,0.0,84.0,130.0,1900.0,Maribyrnong City Council,-37.8058,144.8846,Western Metropolitan,1808
Hampton,50 Holyrood St,4.0,h,2200000.0,PI,Hodges,23/04/2016,13.7,3188,4.0,3.0,4.0,583.0,305.0,2000.0,Bayside City Council,-37.9336,144.9999,Southern Metropolitan,5454
Doreen,10 Besra Dr,3.0,h,580000.0,S,Barry,17/02/2018,25.9,3754,3.0,2.0,2.0,448.0,148.0,2012.0,Nillumbik Shire Council,-37.58319,145.12487,Northern Victoria,7254
Carnegie,4/49 Coorigil Rd,3.0,u,945000.0,S,hockingstuart,20/05/2017,11.4,3163,3.0,1.0,2.0,1103.0,100.0,1987.0,Glen Eira City Council,-37.8958,145.0603,Southern Metropolitan,7822
Glen Iris,4 Rowen St,4.0,h,1760000.0,PI,Jellis,13/05/2017,9.2,3146,4.0,3.0,3.0,622.0,160.0,1940.0,Boroondara City Council,-37.858000000000004,145.0859,Southern Metropolitan,10412
Altona North,151 Chambers Rd,3.0,h,900000.0,S,Greg,1/7/2017,9.4,3025,3.0,1.0,2.0,672.0,110.0,1960.0,Hobsons Bay City Council,-37.8265,144.84386,Western Metropolitan,5132
Kew,71 Peel St,3.0,h,1575000.0,PI,Marshall,15/10/2016,5.6,3101,3.0,2.0,2.0,397.0,80.0,1940.0,Boroondara City Council,-37.8013,145.0335,Southern Metropolitan,10331
Avondale Heights,39 Brown St,4.0,h,970000.0,SP,Moonee,9/12/2017,9.5,3034,4.0,2.0,2.0,534.0,181.0,2000.0,Moonee Valley City Council,-37.76643,144.85492,Western Metropolitan,4502
Hawthorn,8/32 Liddiard St,2.0,u,440000.0,SP,Jellis,10/9/2016,4.6,3122,2.0,1.0,1.0,0.0,52.0,1970.0,Boroondara City Council,-37.8192,145.0385,Southern Metropolitan,11308
Hillside,12 Cynthia Ct,4.0,h,666000.0,S,Barry,6/1/2018,18.0,3037,4.0,2.0,2.0,651.0,194.0,2000.0,Brimbank City Council,-37.69477,144.75519,Western Metropolitan,5556
Yarraville,455 Geelong Rd,2.0,h,650000.0,PI,Village,20/05/2017,7.0,3013,2.0,1.0,2.0,304.0,81.0,1960.0,Maribyrnong City Council,-37.8122,144.8671,Western Metropolitan,6543
Brighton,3/198 Church St,1.0,u,671000.0,S,Buxton,27/11/2016,11.2,3186,1.0,1.0,1.0,70.0,74.0,1980.0,Bayside City Council,-37.9194,145.0003,Southern Metropolitan,10579
Epping,8 Charteris Gr,4.0,h,611000.0,SP,HAR,6/1/2018,19.6,3076,4.0,2.0,2.0,510.0,199.0,2000.0,Whittlesea City Council,-37.63751,145.03896,Northern Metropolitan,10926
Bonbeach,22 Cirrus St,4.0,h,1050000.0,PI,Buxton,17/03/2018,27.0,3196,4.0,2.0,2.0,526.0,224.0,2010.0,Kingston City Council,-38.06566,145.12478000000002,South-Eastern Metropolitan,2887
Eaglemont,61 Glenard Dr,4.0,h,2050000.0,S,Miles,15/10/2016,10.3,3084,4.0,3.0,2.0,723.0,290.0,1950.0,Banyule City Council,-37.7615,145.0705,Eastern Metropolitan,1651
Williamstown,9 Gellibrand St,3.0,h,1800000.0,SP,Barlow,11/11/2017,6.8,3016,3.0,1.0,2.0,451.0,170.0,1930.0,Hobsons Bay City Council,-37.8662,144.8912,Western Metropolitan,6380
St Kilda,25 Fawkner St,2.0,h,1440000.0,S,Marshall,13/05/2017,6.1,3182,2.0,1.0,2.0,194.0,112.0,1890.0,Port Phillip City Council,-37.8658,144.9795,Southern Metropolitan,13240
Roxburgh Park,10 Thurmand Ct,4.0,h,600000.0,PI,HAR,17/03/2018,20.6,3064,4.0,2.0,2.0,517.0,224.0,1996.0,Hume City Council,-37.635220000000004,144.92848,Northern Metropolitan,5833
Richmond,344 Highett St,3.0,h,,PI,Biggin,12/8/2017,2.4,3121,3.0,3.0,1.0,195.0,157.85,2009.0,Yarra City Council,-37.81687,145.00652,Northern Metropolitan,14949
Greenvale,21 Elphinstone Bvd,6.0,h,1515000.0,S,Jason,6/1/2018,20.4,3059,6.0,2.0,6.0,4046.0,323.0,1983.0,Hume City Council,-37.64857,144.88562,Northern Metropolitan,4864
Coburg,29 Molesworth St,2.0,h,850000.0,SP,Brad,3/9/2016,7.8,3058,2.0,1.0,1.0,371.0,93.0,1930.0,Darebin City Council,-37.735,144.9589,Northern Metropolitan,11204
Glen Iris,2 Vincent St,5.0,h,3730000.0,PI,Abercromby's,3/9/2016,9.2,3146,4.0,3.0,2.0,919.0,353.0,1925.0,Boroondara City Council,-37.8637,145.0438,Southern Metropolitan,10412
Wheelers Hill,36 Chancellor Dr,5.0,h,1050000.0,SP,Bekdon,21/10/2017,16.7,3150,5.0,2.0,3.0,708.0,152.0,1973.0,Monash City Council,-37.9158,145.1811,South-Eastern Metropolitan,7392
Greensborough,514 Greensborough Rd,3.0,h,960000.0,S,Barry,25/11/2017,16.1,3088,3.0,2.0,4.0,1064.0,168.0,1955.0,Banyule City Council,-37.705,145.0908,Northern Metropolitan,8524
Jacana,27 Hendricks Cr,4.0,h,600000.0,S,Stockdale,3/3/2018,14.0,3047,4.0,2.0,4.0,905.0,85.0,1990.0,Hume City Council,-37.68209,144.9067,Northern Metropolitan,851
Preston,13 Adeline St,3.0,h,1265000.0,S,Nelson,3/3/2018,8.4,3072,3.0,2.0,1.0,447.0,447.0,1930.0,Darebin City Council,-37.74752,145.00087,Northern Metropolitan,14577
Williamstown,10 Crofton Dr,5.0,h,2040000.0,S,Greg,13/05/2017,8.0,3016,5.0,3.0,2.0,531.0,288.0,1997.0,Hobsons Bay City Council,-37.8629,144.8781,Western Metropolitan,6380
Airport West,3/19 Hart St,2.0,u,515000.0,S,Barry,7/11/2016,13.5,3042,2.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley City Council,-37.7298,144.8883,Western Metropolitan,3464
Port Melbourne,95 Heath St,3.0,h,1560000.0,S,Greg,10/9/2016,3.8,3207,3.0,2.0,2.0,241.0,131.0,1900.0,Melbourne City Council,-37.8346,144.9448,Southern Metropolitan,8648
Hawthorn,466 Auburn Rd,4.0,h,1800000.0,SP,Noel,22/08/2016,4.6,3122,3.0,2.0,4.0,601.0,158.0,1940.0,Boroondara City Council,-37.839,145.0418,Southern Metropolitan,11308
Hawthorn East,41 Leura Gr,4.0,h,3600000.0,VB,Jellis,13/05/2017,7.5,3123,4.0,3.0,2.0,667.0,310.0,1988.0,Boroondara City Council,-37.8374,145.0511,Southern Metropolitan,6482
Sunshine,75 Duke St,3.0,h,700000.0,SP,S&L,12/8/2017,10.5,3020,3.0,2.0,1.0,485.0,130.0,1950.0,Brimbank City Council,-37.78703,144.84569,Western Metropolitan,3755
Brunswick,11/97 Brickworks Dr,2.0,u,410000.0,S,Ray,4/6/2016,5.2,3056,2.0,1.0,1.0,0.0,66.0,2000.0,Moreland City Council,-37.7695,144.9528,Northern Metropolitan,11918
Hadfield,25 East St,2.0,h,515000.0,S,D'Aprano,27/11/2016,12.1,3046,2.0,1.0,2.0,345.0,79.0,1990.0,Moreland City Council,-37.7128,144.9496,Northern Metropolitan,2606
Richmond,5/10 Elaine Ct,2.0,u,807000.0,S,Jellis,27/11/2016,2.6,3121,2.0,2.0,2.0,0.0,106.0,2000.0,Yarra City Council,-37.8128,145.0139,Northern Metropolitan,14949
Wollert,52 Northside Dr,4.0,h,880000.0,S,Love,11/11/2017,25.5,3750,4.0,2.0,2.0,680.0,228.0,2015.0,Whittlesea City Council,-37.6178,145.0191,Northern Metropolitan,2940
Mill Park,5 Protea Ct,3.0,h,620000.0,S,Ray,17/03/2018,17.9,3082,3.0,2.0,2.0,604.0,136.0,1985.0,Whittlesea City Council,-37.67145,145.0478,Northern Metropolitan,10529
West Footscray,22 Hope St,3.0,h,1100000.0,S,Biggin,3/6/2017,6.4,3012,3.0,2.0,3.0,380.0,106.4,1945.0,Maribyrnong City Council,-37.791940000000004,144.87143999999998,Western Metropolitan,5058
Sunshine West,3/14 Smart St,2.0,u,350000.0,S,Bells,24/09/2016,13.5,3020,2.0,1.0,1.0,235.0,80.0,1990.0,Brimbank City Council,-37.7847,144.8146,Western Metropolitan,6763
Caulfield South,15 Dover St,2.0,h,1065000.0,S,hockingstuart,4/3/2017,9.3,3162,2.0,1.0,1.0,273.0,114.0,1930.0,Glen Eira City Council,-37.895,145.02200000000002,Southern Metropolitan,5051
Watsonia North,78 Sellars St,4.0,h,952000.0,S,Jellis,3/3/2018,14.5,3087,4.0,2.0,2.0,663.0,154.0,1960.0,Banyule City Council,-37.69697,145.09058000000002,Northern Metropolitan,1442
Thornbury,126 Keon St,3.0,h,1265000.0,S,Jellis,15/10/2016,6.5,3071,3.0,2.0,2.0,397.0,97.0,1920.0,Darebin City Council,-37.7515,144.9857,Northern Metropolitan,8870
Brighton,18 Victoria St,4.0,h,3700000.0,S,Marshall,3/12/2016,11.2,3186,4.0,3.0,2.0,742.0,247.0,1900.0,Bayside City Council,-37.914,144.9878,Southern Metropolitan,10579
